created_at,id,edit_history_tweet_ids,text,annote
2022-12-11T20:14:26.000Z,1602034093528879104,['1602034093528879104'],Elon Musk has increasingly aligned himself with right-wing commentators like those attacking Dr . Anthony Fauci . https://t . co/xbTjSsUdCx # via ,2
2022-12-11T20:14:24.000Z,1602034085035229185,['1602034085035229185'],Top story: : 'Elon Musk confirms that Twitter’s character limit will be raised from 280 to 4000 characters . ' https://t . co/3anoeoLWn0 . see more https://t . co/m0IjssHOTS,2
2022-12-11T20:14:24.000Z,1602034083000901632,['1602034083000901632'],"I don’t think Elon Musk really believes in anything , all he wants is to be considered funny and the only ones who are laughing at his jokes are right wing trolls , so obviously he is now a full right winger",4
2022-12-11T20:14:23.000Z,1602034078836002819,['1602034078836002819'],"this elon musk drag , , , , https://t , co/dK1mJSimcv",2
2022-12-11T20:14:21.000Z,1602034071852531716,['1602034071852531716'], God bless our freedom fighter Elon Musk https://t . co/O8fM71MYmA,2
2022-12-11T20:14:21.000Z,1602034071827513344,['1602034071827513344'], That's it ! Elon Musk ruined twitter ! I'm deleting my twitter account ! ,2
2022-12-11T20:14:21.000Z,1602034070254411776,['1602034070254411776'], Elon Musk obviously a typical example,2
2022-12-11T20:14:20.000Z,1602034068287266816,['1602034068287266816'], But Elon Musk is a punchline . ,2
2022-12-11T20:14:19.000Z,1602034063623475200,['1602034063623475200'], I’m a bigger fan of the IRS looking into Elon Musk,2
2022-12-11T20:14:17.000Z,1602034055842873345,['1602034055842873345'], False information ; Elon Musk is OK with people disagreeing with him ; Dr ; Fauci wilfully and purposely censored and fired people who disagreed with him ; He does not represent science ; he represents the deep state ; ,4
2022-12-11T20:14:16.000Z,1602034049618698240,['1602034049618698240'], She is farming attention from Elon Musk . ,2
2022-12-11T20:14:13.000Z,1602034037878554626,['1602034037878554626'], really ? Apparently this was going on for a couple weeks because of Elon Musk ? ,2
2022-12-11T20:14:13.000Z,1602034036305600512,['1602034036305600512'],  Your pronouncement may be premature but it's not outlandish to predict that Twitter won't thrive or even survive Elon Musk's ownership . He's an odious scale-thumber who has carried water for Russia and dark right-wing forces in the U . S . ,0
2022-12-11T20:14:12.000Z,1602034033839542275,['1602034033839542275'],"Elon Musk Exposes Hidden Agenda , DESTROYS Jack Dorsey - Twitter Drama Wo , , , https://t , co/XyA9gyEdA3 via ",2
2022-12-11T20:14:12.000Z,1602034032468017152,['1602034032468017152'],"Elon Musk is proof that you can be an absolute idiot and still get rich . 

And by . get rich . . I mean . be born into wealth . . ",2
2022-12-11T20:14:11.000Z,1602034030010019841,['1602034030010019841'],  No intelligent person with a lot to lose would get political in the current environment UNLESS that person is indeed sincere about improving society . Thank you to Elon Musk,0
2022-12-11T20:14:11.000Z,1602034028479217664,['1602034028479217664'],"So it's the same it always was then with a slightly better slant . @ Elon Musk and his enablers have turned this website into a torrent of ad hominem attacks . lies floated as jokes . and blatant misinformation . 

This isn’t freedom of speech . It’s just dangerous . ",0
2022-12-11T20:14:10.000Z,1602034026423848960,['1602034026423848960'],"Elon Musk Calls For Anthony Fauci's Prosecution , Attacks Twitter’s Ex-Safety Head | HuffPost Latest News https://t , co/EhKNLXyJ16",2
2022-12-11T20:14:09.000Z,1602034020551991296,['1602034020551991296'],   Why are you engaging this narcissism ? Elon Musk thinking that his politics matter for ? Civilization ? tells you all you need to know about how out of touch with reality he is ? ,2
2022-12-11T20:14:09.000Z,1602034020065619969,['1602034020065619969'],  That Elon Musk is a Fucking/Idiot . ,2
2022-12-11T20:14:08.000Z,1602034016059793416,['1602034016059793416'],    . . . and freedom of speech = Elon Musk's speech . ,2
2022-12-11T20:14:08.000Z,1602034015623872512,['1602034015623872512'], Absolutely there’s been no better time to bully Elon Musk,2
2022-12-11T20:14:08.000Z,1602034014793404417,['1602034014793404417'],"Neuralink , one of Elon Musk’s lesser-known business ventures , is facing a federal investigation into its practices after 1 , 500 animals are said to have been killed in trials of the company’s brain implants , 
https://t , co/G5DLonhdce",2
2022-12-11T20:14:04.000Z,1602033998699630592,['1602033998699630592'],Elon Musk Trolled Too Strong &amp ; Calls for Silence on Twitter https://t ; co/pMoVrBvMvI,2
2022-12-11T20:14:02.000Z,1602033993041547264,['1602033993041547264'],  https://t . co/6RtM38sUUT Then why not solve for unnatural death first . ,2
2022-12-11T20:14:01.000Z,1602033987706306560,['1602033987706306560'],Elon Musk is insane . ,2
2022-12-11T20:14:01.000Z,1602033986959998976,['1602033986959998976'], can you write a message that sounds like someone obsessed with elon musk,2
2022-12-11T20:14:01.000Z,1602033985592385537,['1602033985592385537'],Elon Musk broke  🤣🤣🤣 https://t . co/x3AdSC1RbN,2
2022-12-11T20:13:58.000Z,1602033974028673025,['1602033974028673025'], Elon Musk is the only American with the power to effectively defend - and save - free speech in the USA . Fauci belongs in jail . ,2
2022-12-11T20:13:56.000Z,1602033965803704323,['1602033965803704323'],Elon Musk Calls for Dr . Fauci to Be Prosecuted Weeks After Twitter Halts COVID-19 Misinformation Policy https://t . co/GhKcIbF9Is,2
2022-12-11T20:13:56.000Z,1602033965048676352,['1602033965048676352'], Thank u mr Elon Musk ! ! ! ,2
2022-12-11T20:13:55.000Z,1602033961529708544,['1602033961529708544'],Elon Musk wants to be a star but he is just a loser with too much money . https://t . co/8hmHrMaNd9,2
2022-12-11T20:13:51.000Z,1602033944815603712,['1602033944815603712']," Can you accept the monument of Elon musk and pass it on to him , the egt team worked day and nights just to gift it to him thanks https://t , co/5kW7j8RVlT",4
2022-12-11T20:13:50.000Z,1602033941997060096,['1602033941997060096'], JUST IN: Elon Musk has joined the ranks of most successful leaders of internet crime . Mark Zuckerberg still holds the top spot . Elon still very wet behind the ears hasn’t realized yet that Zuckerberg’s people are using the Twitter platform . ,4
2022-12-11T20:13:50.000Z,1602033940486885378,['1602033940486885378'],  Elon Musk defends free speech while Fauci lies continuously . ,2
2022-12-11T20:13:49.000Z,1602033937387491328,['1602033937387491328'], Elon Musk is trying to educate you on what’s been done to the whole world . If you don’t want to listen . that’s your choice . For those that have researched Fauci and the jabs . we already know what’s coming . ,2
2022-12-11T20:13:49.000Z,1602033936917757952,['1602033936917757952'], Elon Musk has just announced the name of his next child 8=D . It's pronounced Chode . ,2
2022-12-11T20:13:47.000Z,1602033930118504449,['1602033930118504449']," What if after rejecting the one million dollars for a dinner with elon musk , and then at the dinner you ask him for money and he refuses , Dey play 😹😹😹",2
2022-12-11T20:13:46.000Z,1602033925920006144,['1602033925920006144']," "" Twitter was filled with more child pornography and pornography overall than any other social media platform until Elon Musk started taking it off "" "" informed Marjorie Taylor Greene https://t "" co/auu6NVkSDt",2
2022-12-11T20:13:44.000Z,1602033916151762944,['1602033916151762944'],"i am literally going to have to spend hours blocking people , as my feed is full of these deluded twats - , , , , , , , , , 
WHAT THE FUCK HAS ELON DONE TO TWITTER , , , https://t , co/M13ZdR0VTs",2
2022-12-11T20:13:43.000Z,1602033911332491269,['1602033911332491269'], My pronouns are fuck/off/Elon Musk,2
2022-12-11T20:13:41.000Z,1602033902826426369,['1602033902826426369'],"   Thankfully , Elon Musk took time to attempt to investigate the entire covid ordeal , He realized a way to allow some of the BS to be revealed , Spent his money to help ppl openly communicate , too , I applaud him , ",2
2022-12-11T20:13:41.000Z,1602033901202964483,['1602033901202964483'],"  No , Elon Musk would be in control",2
2022-12-11T20:13:40.000Z,1602033900246765575,['1602033900246765575'],Elon Musk for 🇺🇸President ? ? ,2
2022-12-11T20:13:37.000Z,1602033887970033670,['1602033887970033670']," If I have to go with my gut and see Elon Musk teasing , yes , ",2
2022-12-11T20:13:37.000Z,1602033887764529153,['1602033887764529153'],"Tony Stark saved the world with a snap of his fingers . 

Elon Musk paid 44bn for Twitter . https://t . co/OrVbnLnG23",2
2022-12-11T20:13:36.000Z,1602033881510825984,['1602033881510825984'],Reckon john redwood has been bought by Elon Musk . . . ,2
2022-12-11T20:13:35.000Z,1602033879237681152,['1602033879237681152'],Thank You Elon Musk for exposing this mad scientist . https://t . co/3q1vRNhKxB,2
2022-12-11T20:13:35.000Z,1602033878864216065,['1602033878864216065'], Hello Elon musk can I get 2000,2
2022-12-11T20:13:34.000Z,1602033874044915714,['1602033874044915714'], U are a person at hiden place . We can't find real elon to because u have more than1000 face back of your musk . ,2
2022-12-11T20:13:33.000Z,1602033871003865088,['1602033871003865088'],   People put themselves in political boxes . Elon Musk has done the same . Why is it wrong to point that out . ,0
2022-12-11T20:13:31.000Z,1602033861642227712,['1602033861642227712'],Imagine being upset and taking your tears to Twitter because Elon Musk criticized Dr . Fauci . ,0
2022-12-11T20:13:30.000Z,1602033856353271810,['1602033856353271810'], You're not Elon Musk . ,2
2022-12-11T20:13:29.000Z,1602033853543104512,['1602033853543104512'],Join Because I am Elon Musk,2
